STATE,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Assam,2006.0,For Ransom,-0.09126635996331622,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,0.028209946426103572,-0.09737951787171081,0.21648755333219932,0.03782691190092743,-0.10237607949921654,-0.041908810802807485,0.02318729183246634,-0.11620706501884616,-0.09336029545515682
Assam,2006.0,For Revenge,-0.17683780102635163,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.09737951787171081,-0.2109003634360554,-0.037524438945934116,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.12745728036749393,-0.17799013625871424
Assam,2006.0,For Selling body parts,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2006.0,For Slavery,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2006.0,For unlawful activity,0.15557433541082435,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,1.7360206732097738,-0.22753645591390592,0.7992892580161831,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,1.0589694355888393,-0.2212090749395586,0.15076424532433572
Assam,2006.0,Others,0.46823921621806913,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,1.7554276132868611,0.2215049803316672,0.9935564929108444,0.3392323152883736,-0.10237607949921654,-0.041908810802807485,1.1193062594969776,0.11254731373699167,0.4599886636450263
Assam,2007.0,For Adoption,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2007.0,For Begging,-0.2591180328177318,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,-0.22753645591390592,-0.2109003634360554,-0.16311002369070335,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,-0.2212090749395586,-0.2593649831852118
Assam,2007.0,For Illicit intercourse,0.1325358705092379,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,-0.14209936823878785,-0.20467333449894237,0.23452067413588673,-0.2109003634360554,1.0425115898590813,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,0.2250494672234693,0.1279792881849164
Assam,2007.0,For marriage,3.851602347479623,-0.08835272519677301,-0.1074060831911942,-0.060334812301996235,-0.15013941715195286,-0.10697017248729422,0.18744355087157757,-0.20467333449894237,3.9049463269257885,-0.2109003634360554,14.530403391447297,-0.10237607949921654,-0.041908810802807485,-0.20810386648206353,4.462630581880793,3.8061223692626047
